t	V	m	X	Y	teta	R	G	Mach	delta	alpha	C_xa	C_ya	AD_K	m_z	_m	n_xa	n_ya
3.149999999999977	721.7471111392424	168.50000000000182	1523.6438213780182	4999.999997339754	-1.929236970984547e-09	30000.0	10.0	2.2518239999840435	-0.02181661564992912	0.052554404832703364	0.5761982136242552	0.010436712839385569	0.018113060041854718	5.601242648939386e-05	0.2624999999999851	15.573718819226182	1.0000000001147822
3.1599999999999766	723.2743712360173	168.40000000000182	1530.8612924894103	4999.999997325829	-1.9292213750966665e-09	30000.0	10.0	2.2565889943799604	-0.02181661564992912	0.05251503998284061	0.5753321090164274	0.010419592545272204	0.018110570194118433	5.758463736559076e-05	0.2633333333333184	15.576028742157431	0.9999996750994546
3.1699999999999764	724.8018578588492	168.3000000000018	1538.0940362017707	4999.9999973118765	-1.973273619443101e-09	30000.0	10.0	2.2613546955287034	-0.02181661564992912	0.05247571674486992	0.5744658783362285	0.010402504245507774	0.018108132506730545	5.915061207895577e-05	0.2641666666666517	15.578350044515108	1.0000000454385385
3.179999999999976	726.3295721236833	168.2000000000018	1545.3420547803591	4999.999997297573	-1.967125734521889e-09	30000.0	10.0	2.266121106911969	-0.02181661564992912	0.05243639350689922	0.5735995203239719	0.01038543786893545	0.01810572969633884	6.071119615900757e-05	0.2649999999999849	15.580682891781745	1.0000003112218838
3.189999999999976	727.8575151626831	168.1000000000018	1552.6053505015961	4999.999997283285	-1.9251056350505592e-09	30000.0	10.0	2.2708882320620765	-0.02181661564992912	0.052397028657036486	0.5727330337142725	0.010368383393141826	0.018103344460334462	6.226721984989563e-05	0.2658333333333182	15.583027449794193	0.9999996700953304
3.199999999999976	729.3856881242772	168.00000000000182	1559.8839256532226	4999.999997269273	-1.9695547141706543e-09	30000.0	10.0	2.2756560745620877	-0.02181661564992912	0.052357747030957816	0.5718664197298782	0.010351370883519723	0.018101029412444267	6.38161641885e-05	0.2666666666666515	15.585383714794595	1.0000005259404103
3.2099999999999755	730.9140921565372	167.90000000000182	1567.1777825344657	4999.999997254908	-1.8988415975167303e-09	30000.0	10.0	2.2804246379939244	-0.02181661564992912	0.05231838218109509	0.5709996752251331	0.010334360276162687	0.018098714805902597	6.536136365654314e-05	0.2674999999999848	15.587751980842304	0.9999996705088
3.2199999999999758	732.4427284363527	167.80000000000186	1574.4869234560308	4999.999997241029	-1.9430493219559187e-09	30000.0	10.0	2.2851939260294625	-0.02181661564992912	0.05227910055501642	0.5701328020257543	0.010317391585137718	0.018096470766948883	6.689948498591247e-05	0.2683333333333181	15.590132202385162	1.0000003129339938
3.229999999999975	733.9715981361684	167.70000000000184	1581.8113507403946	4999.999997226797	-1.9011506992863355e-09	30000.0	10.0	2.2899639423266622	-0.02181661564992912	0.052239777317045724	0.5692657976001115	0.01030043481726353	0.0180942450094274	6.843301002808406e-05	0.2691666666666513	15.592524631745565	1.0000000440770624
3.239999999999975	735.5007024531537	167.60000000000184	1589.1510667217565	4999.999997212844	-1.895261529657461e-09	30000.0	10.0	2.294734690620665	-0.02181661564992912	0.05220045407907502	0.5683986618929192	0.01028349996950115	0.01809205520515187	6.996110209251028e-05	0.26999999999998464	15.594929351594994	0.9999996659494428
