t	V	m	X	Y	teta	R	G	Mach	delta	alpha	C_xa	C_ya	AD_K	m_z	alpha_max	alpha_min	mu	n_xa	n_ya	n_ya_potr	n_ya_rasp_max	n_ya_rasp_min
44.70000000000037	237.68528263192883	79.0	36237.13150879713	5008.862738240121	-0.20028559909035307	0.0	0.0	0.7416538842561388	-3.7502762302228145	5.329085826873778	0.7486973814151737	0.9812372848134504	1.3105926495411724	-0.004514335289413578	30.75	-30.75	1.0083333333333333	-0.7630052491723459	0.9999890711266074	0.9999938911457164	12.964238500987127	-12.964238500987127
44.800000000000374	236.94045788466067	79.0	36260.899891861845	5008.779658236125	-0.20028673860986587	0.0	0.0	0.7393290125519043	-3.7502762302228145	5.346446514129639	0.7496289926007638	0.9874071132186004	1.3171944027843543	-0.005792329121323929	30.75	-30.75	1.0083333333333333	-0.7591810803544394	0.999989069742647	0.999993891076204	12.866836099325239	-12.866836099325239
44.900000000000375	236.19938338540868	79.0	36284.5937929052	5008.696838105376	-0.20028788202320053	0.0	0.0	0.7370158501402859	-3.7502762302228145	5.363865852355958	0.7505634025103022	0.993599399990128	1.3238047534251975	-0.0070742938718275986	30.75	-30.75	1.0083333333333333	-0.7553867651865266	0.9999845904284074	0.9999938910064536	12.770379598719751	-12.770379598719751
45.00000000000037	235.46202985780968	79.0	36308.213586949685	5008.614276538362	-0.20029009464139624	0.0	0.0	0.7347143055978169	-3.7502762302228145	5.381402492523193	0.7515038187029071	0.9998366118410054	1.3304478127160018	-0.008364981793858459	30.75	-30.75	1.0083333333333333	-0.7516251926024079	0.9999980934801171	0.9999938908714786	12.67485737529279	-12.67485737529279
45.10000000000037	234.72836521065673	79.0	36331.759646088685	5008.531971798036	-0.20028909170506745	0.0	0.0	0.7324242787146426	-3.7502762302228145	5.39893913269043	0.7524438266519821	1.006073770377679	1.3370749213987572	-0.009654880805157522	30.75	-30.75	1.0083333333333333	-0.7478895923235259	0.999984417870927	0.9999938909326604	12.580257577404435	-12.580257577404435
45.20000000000037	233.9983639187865	79.0	36355.23233921261	5008.44992391788	-0.2002913594807339	0.0	0.0	0.7301456897862362	-3.906537739815433	5.416593074798584	0.7548083071301763	0.9826977987566208	1.3019170423453514	0.005925760835214677	30.75	-30.75	1.0083333333333333	-0.7455872070964764	0.9706926914735756	0.9999938907943198	12.486569332112749	-12.486569332112749
45.300000000000374	233.2706205343368	79.0	36378.632032650086	5008.368130279165	-0.2073277166014958	0.0	0.0	0.7278741533122526	-3.906537739815433	5.511724948883057	0.7599083326183272	1.0186692240933588	1.3405159285244963	-0.001646729183061767	30.75	-30.75	1.0083333333333333	-0.7459698852736882	0.9999845134089704	0.9999934540148488	12.39360582868567	-12.39360582868567
45.40000000000038	232.54262229427403	79.0	36401.95894200491	5008.283726510271	-0.20732987028659625	0.0	0.0	0.7256018022591934	-3.906537739815433	5.529672145843507	0.7608535145629561	1.0250568301700174	1.347245968573626	-0.002967725427646499	30.75	-30.75	1.0083333333333333	-0.7422499371435743	0.9999932354907078	0.999993453878851	12.301046682643664	-12.301046682643669
45.500000000000384	231.81827211400358	79.0	36425.21305200912	5008.199585277262	-0.20732992305838166	0.0	0.0	0.7233408415123679	-3.906537739815433	5.547677993774414	0.7618014536553618	1.0314668638045714	1.3539838482261626	-0.004292662129344607	30.75	-30.75	1.0083333333333333	-0.7385588197879551	0.9999967129578684	0.9999934538755186	12.209381066179073	-12.209381066179073
45.60000000000038	231.0975416842377	79.0	36448.39472746939	5008.115706115576	-0.2073291330658832	0.0	0.0	0.7210911826751397	-3.906537739815433	5.565742492675781	0.7627521503911391	1.0378993125192657	1.3607294479432557	-0.005621538018730818	30.75	-30.75	1.0083333333333333	-0.7348962275752465	0.9999949380440468	0.999993453925404	12.118598064338697	-12.118598064338697
