t	G	R
7.03	10	30000
7.04	10	30000
7.05	10	30000
7.06	10	30000
7.07	10	30000
7.08	10	30000
7.09	10	30000
7.1	10	30000
7.11	10	30000
7.12	10	30000
7.13	10	30000
7.14	10	30000
7.15	10	30000
7.16	10	30000
7.17	10	30000
7.18	10	30000
7.19	10	30000
7.2	10	30000
7.21	10	30000
7.22	10	30000
7.23	10	30000
7.24	10	30000
7.25	10	30000
7.26	10	30000
7.27	10	30000
7.28	10	30000
7.29	10	30000
7.3	10	30000
7.31	10	30000
7.32	10	30000
7.33	10	30000
7.34	10	30000
7.35	10	30000
7.36	10	30000
7.37	10	30000
7.38	10	30000
7.39	10	30000
7.4	10	30000
7.41	10	30000
7.42	10	30000
7.43	10	30000
7.44	10	30000
7.45	10	30000
7.46	10	30000
7.47	10	30000
7.48	10	30000
7.49	10	30000
7.5	10	30000
7.51	10	30000
7.52	10	30000
7.53	10	30000
7.54	10	30000
7.55	10	30000
7.56	10	30000
7.57	10	30000
7.58	10	30000
7.59	10	30000
7.6	10	30000
7.61	10	30000
7.62	10	30000
7.63	10	30000
7.64	10	30000
7.65	10	30000
7.66	10	30000
7.67	10	30000
7.68	10	30000
7.69	10	30000
7.7	10	30000
7.71	10	30000
7.72	10	30000
7.73	10	30000
7.74	10	30000
7.75	10	30000
7.76	10	30000
7.77	10	30000
7.78	10	30000
7.79	10	30000
7.8	10	30000
7.81	10	30000
7.82	10	30000
7.83	10	30000
7.84	10	30000
7.85	10	30000
7.86	10	30000
7.87	10	30000
7.88	10	30000
7.89	10	30000
7.9	10	30000
7.91	10	30000
7.92	10	30000
7.93	10	30000
7.94	10	30000
7.95	10	30000
7.96	10	30000
7.97	10	30000
7.98	10	30000
7.99	10	30000
8	10	30000
8.01	10	30000
8.02	10	30000
8.03	10	30000
8.04	10	30000
8.05	10	30000
8.06	10	30000
8.07	10	30000
8.08	10	30000
8.09	10	30000
8.1	10	30000
8.11	10	30000
8.12	10	30000
8.13	10	30000
8.14	10	30000
8.15	10	30000
8.16	10	30000
8.17	10	30000
8.18	10	30000
8.19	10	30000
8.2	10	30000
8.21	10	30000
8.22	10	30000
8.23	10	30000
8.24	10	30000
8.25	10	30000
8.26	10	30000
8.27	10	30000
8.28	10	30000
8.29	10	30000
8.3	10	30000
8.31	10	30000
8.32	10	30000
8.33	10	30000
8.34	10	30000
8.35	10	30000
8.36	10	30000
8.37	10	30000
8.38	10	30000
8.39	10	30000
8.4	10	30000
8.41	10	30000
8.42	10	30000
8.43	10	30000
8.44	10	30000
8.45	10	30000
8.46	10	30000
8.47	10	30000
8.48	10	30000
8.49	10	30000
8.5	10	30000
8.51	10	30000
8.52	10	30000
8.53	10	30000
8.54	10	30000
8.55	10	30000
8.56	10	30000
8.57	10	30000
8.58	10	30000
8.59	10	30000
8.6	10	30000
8.61	10	30000
8.62	10	30000
8.63	10	30000
8.64	10	30000
8.65	10	30000
8.66	10	30000
8.67	10	30000
8.68	10	30000
8.69	10	30000
8.7	10	30000
8.71	10	30000
8.72	10	30000
8.73	10	30000
8.74	10	30000
8.75	10	30000
8.76	10	30000
8.77	10	30000
8.78	10	30000
8.79	10	30000
8.8	10	30000
8.81	10	30000
8.82	10	30000
8.83	10	30000
8.84	10	30000
8.85	10	30000
8.86	10	30000
8.87	10	30000
8.88	10	30000
8.89	10	30000
8.9	10	30000
8.91	10	30000
8.92	10	30000
8.93	10	30000
8.94	10	30000
8.95	10	30000
8.96	10	30000
8.97	10	30000
8.98	10	30000
8.99	10	30000
9	10	30000
9.01	10	30000
9.02	10	30000
9.03	10	30000
9.04	10	30000
9.05	10	30000
9.06	10	30000
9.07	10	30000
9.08	10	30000
9.09	10	30000
9.1	10	30000
9.11	10	30000
9.12	10	30000
9.13	10	30000
9.14	10	30000
9.15	10	30000
9.16	10	30000
9.17	10	30000
9.18	10	30000
9.19	10	30000
9.2	10	30000
9.21	10	30000
9.22	10	30000
9.23	10	30000
9.24	10	30000
9.25	10	30000
9.26	10	30000
9.27	10	30000
9.28	10	30000
9.29	10	30000
9.3	10	30000
9.31	10	30000
9.32	10	30000
9.33	10	30000
9.34	10	30000
9.35	10	30000
9.36	10	30000
9.37	10	30000
9.38	10	30000
9.39	10	30000
9.4	10	30000
9.41	10	30000
9.42	10	30000
9.43	10	30000
9.44	10	30000
9.45	10	30000
9.46	10	30000
9.47	10	30000
9.48	10	30000
9.49	10	30000
9.5	10	30000
9.51	10	30000
9.52	10	30000
9.53	10	30000
9.54	10	30000
9.55	10	30000
9.56	10	30000
9.57	10	30000
9.58	10	30000
9.59	10	30000
9.6	10	30000
9.61	10	30000
9.62	10	30000
9.63	10	30000
9.64	10	30000
9.65	10	30000
9.66	10	30000
9.67	10	30000
9.68	10	30000
9.69	10	30000
9.7	10	30000
9.71	10	30000
9.72	10	30000
9.73	10	30000
9.74	10	30000
9.75	10	30000
9.76	10	30000
9.77	10	30000
9.78	10	30000
9.79	10	30000
9.8	10	30000
9.81	10	30000
9.82	10	30000
9.83	10	30000
9.84	10	30000
9.85	10	30000
9.86	10	30000
9.87	10	30000
9.88	10	30000
9.89	10	30000
9.9	10	30000
9.91	10	30000
9.92	10	30000
9.93	10	30000
9.94	10	30000
9.95	10	30000
9.96	10	30000
9.97	10	30000
9.98	10	30000
9.99	10	30000
10	10	30000
