M	D	A	C_x	C_y	C_xa	C_ya	m_z	C_x_дн
3.5	-6	0.8	0.111805485	0.05051	0.125199065	0.05024862	0.418198654	0.064514268
3.5	-6	2	0.113496645	0.182693638	0.128436812	0.179664595	0.369251592	0.066314223
3.5	-6	3.2	0.11688004	0.325420223	0.143370093	0.319065344	0.308636521	0.066592773
3.5	-6	4.4	0.120502985	0.473425672	0.162419348	0.463327183	0.24281124	0.066703639
3.5	-6	5.6	0.124605031	0.631988846	0.189700553	0.617311202	0.166565537	0.066479135
3.5	-6	6.8	0.129446172	0.806986236	0.22725749	0.786268484	0.073868842	0.066791709
3.5	-6	8	0.134656861	0.990200734	0.269952295	0.962712398	-0.027053348	0.067372822
3.5	-6	9.2	0.140882031	1.194752781	0.329705524	1.157292549	-0.149185771	0.068440873
3.5	-6	10.4	0.147396608	1.403746849	0.395204413	1.354926352	-0.274645758	0.069337735
3.5	-6	11.6	0.154489998	1.621624958	0.472194619	1.558667457	-0.406760871	0.069892217
3.5	-6	12.8	0.162210768	1.844872802	0.56061004	1.764358222	-0.540026233	0.070151062
3.5	-6	14	0.170245229	2.070805512	0.654738068	1.971023815	-0.673866718	0.070262087
3.5	-6	15.2	0.179143113	2.303545218	0.766149556	2.178378738	-0.809342287	0.070043373
3.5	-6	16.4	0.188291333	2.537964575	0.883232827	2.385062195	-0.94490973	0.069802446
3.5	-6	17.6	0.197940224	2.775743236	1.011659663	2.59040272	-1.080660919	0.069517096
3.5	-6	18.8	0.208072447	3.016905379	1.151527291	2.793749006	-1.218581187	0.069193323
3.5	-6	20	0.218446337	3.259759263	1.297115316	2.996098171	-1.357585996	0.06885034
3.5	-5.2	-10	0.119563045	-1.332803887	0.377336986	-1.284511566	1.034903212	0.067555645
3.5	-5.2	-8.8	0.115991007	-1.142476572	0.317812247	-1.104450387	0.911271034	0.067452819
3.5	-5.2	-7.6	0.112867248	-0.958101112	0.263673755	-0.929262021	0.796420298	0.067275121
3.5	-5.2	-6.4	0.110640048	-0.785629364	0.220307757	-0.763819281	0.699132445	0.06694768
3.5	-5.2	-5.2	0.10912846	-0.625656702	0.186438354	-0.609388622	0.618717642	0.066245034
3.5	-5.2	-4	0.107974678	-0.471933583	0.15731725	-0.460464003	0.546739365	0.065354786
